,repository_name,language
221,ml-uncertainty-llms-instruction-following,Python
222,ml-upscale,Jupyter Notebook
223,ml-uwac,Python
224,ml-veclip,Jupyter Notebook
225,ml-vfi-smiff,Python
226,ml-vfm-kt,
227,ml-vision-transformers-ane,Python
228,ml-vivid,Python
229,ml-winoidentity,
230,music-feed-examples,Java
231,openjdk,Java
232,parameterized-transforms,Python
233,password-manager-resources,JavaScript
234,pfl-research,Jupyter Notebook
235,pir-service-example,Swift
236,pkl,Java
237,pkl-evolution,
238,pkl-go,Go
239,pkl-go-examples,Go
240,pkl-intellij,Kotlin
241,pkl-jvm-examples,Groovy
242,pkl-k8s,Pkl
243,pkl-k8s-examples,Pkl
244,pkl-lang.org,JavaScript
245,pkl-lsp,Kotlin
246,pkl-neovim,Lua
247,pkl-package-docs,Kotlin
248,pkl-pantry,Pkl
249,pkl-project-commons,Pkl
250,pkl-spring,Java
251,pkl-swift,Swift
252,pkl-swift-examples,Swift
253,pkl-vscode,TypeScript
254,pkl.tmbundle,Pkl
255,pytorch-speech-features,Python
256,rules_pkl,Starlark
257,sample-backyard-birds,Swift
258,sample-cloudkit-coredatasync,Swift
259,sample-cloudkit-encryption,Swift
260,sample-cloudkit-privatedb,Swift
261,sample-cloudkit-privatedb-sync,Swift
262,sample-cloudkit-queries,Swift
263,sample-cloudkit-sharing,Swift
264,sample-cloudkit-sync-engine,Swift
265,sample-cloudkit-tooling,JavaScript
266,sample-cloudkit-zonesharing,Swift
267,sample-fbounds-safety-adoption,HTML
268,sample-food-truck,Swift
269,security-pcc,Swift
270,servicetalk,Java
271,speakstream-demo,HTML
272,swift-3-api-guidelines-review,Swift
273,swift-algorithms,Swift
274,swift-argument-parser,Swift
275,swift-asn1,Swift
276,swift-async-algorithms,Swift
277,swift-async-dns-resolver,Swift
278,swift-atomics,Swift
279,swift-binary-parsing,Swift
280,swift-cassandra-client,Swift
281,swift-certificates,Swift
282,swift-clang,C++
283,swift-clang-tools-extra,C++
284,swift-cluster-membership,Swift
285,swift-collections,Swift
286,swift-collections-benchmark,Swift
287,swift-compiler-rt,C
288,swift-configuration,Swift
289,swift-container-plugin,Swift
290,swift-crypto,Assembly
291,swift-distributed-actors,Swift
292,swift-distributed-tracing,Swift
293,swift-distributed-tracing-baggage-core,Swift
294,swift-distributed-tracing-extras,Swift
295,swift-evolution-staging,Swift
296,swift-homomorphic-encryption,Swift
297,swift-homomorphic-encryption-protobuf,
298,swift-http-structured-headers,Swift
299,swift-http-types,Swift
300,swift-internals,HTML
301,swift-issues,
302,swift-libcxx,C++
303,swift-llbuild2,Swift
304,swift-lldb,C++
305,swift-llvm,LLVM
306,swift-log,Swift
